"x"
"1" "作者eyespot (追求內心的自在)看板Stock標題[公告] MF888 違反板規1-9-2 警告一次時間Sun Jul 22 00:02:21 2018
主旨：MF888 違反板規 1-9-2 警告一次

說明：經板主巡視看板，查MF888 發文內容，
      違反板規1-9-2，依板規處砍文處份，
      並警告一次，下次違反板規將予以水桶一週

1-9-2.有關研究生問卷調查之文，
      1.  請先站內信經板主之一認可後才可發文。
      2.  內文需說明認可板主、研究者姓名、指導教授與研究單位。
      3.  一周以一篇為限，同問卷以三篇為限。
      違者以板規4-1處份，累犯板主得以4-0加重處份。

具體證據(原文已刪除)：

 作者  MF888 (女兒心)                                             看板  Stock 
 標題  [其他] 2018年台灣期貨產業-風雲人物調查                                 
 時間  Sat Jul 21 05:07:41 2018                                               
───────────────────────────────────────

為促進台灣期貨產業發展
了解市場實際需求並提升台灣期貨業整體形象與績效，
特設計\"2018年 台灣期貨產業 風雲人物調查\"，

請各位投資人撥冗填寫，俾便供台灣期貨從業人員及廣大投資人參考。

(為避免廣告，以下省略)

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 219.70.193.175
※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1532188944.A.A17.html
"
"2" NA
"3" NA
"4" "作者ORK ()看板Stock標題Re: [新聞] 傳廣東下令陶瓷企業減停產 法人：MLCC料時間Sun Jul 22 00:04:07 2018

http://www.51ore.com/qtxw/20422.html

google一下,似乎是對岸的網址

肇慶陶瓷8月起將全面停產2個月？相關部門：這是謠言


如果真的要停產

外資會比散戶晚知道嗎?


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.230.37.161
※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1532189051.A.DEA.html
※ 編輯: ORK (36.230.37.161), 07/22/2018 00:04:34
推 jason885200: 笑死人 07/22 00:12
推 wayne1218: 反彈就是空點？ 07/22 00:21
推 simbr: 散戶一直在自我催眠說會彈的會彈的～  彈蛋蛋比較快啦～ 07/22 00:26
推 king45645: 賓利開過來囉 07/22 00:45
推 iloveloveptt: 假消息一定是用來出貨 07/22 00:45
→ tigerliao: 風華高科前兩天還創高.... 07/22 10:35
"
"5" NA
"6" NA
"7" "作者a467455 (0.0)看板Stock標題Re: [新聞] 傳廣東下令陶瓷企業減停產 法人：MLCC料時間Sun Jul 22 00:25:34 2018
※ 引述《ORK ()》之銘言：
: http://www.51ore.com/qtxw/20422.html
: google一下,似乎是對岸的網址
: 肇慶陶瓷8月起將全面停產2個月？相關部門：這是謠言
: 如果真的要停產
: 外資會比散戶晚知道嗎?

現在鄉民，路邊阿婆，都想放空被動元件
粉絲團，散戶也都開始放空跌三成的股票了
新聞都是被動，利空消息
所以啊，當ptt法人，散戶，粉絲團，新聞都是利空，放空
生為投資者，應該知道怎做了
ㄏㄏ

-----
Sent from JPTT on my Sony G3226.

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 110.50.173.3
※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1532190339.A.722.html
噓 efp: ㄏㄏ 07/22 00:29
噓 asd132467647: 傳起來 07/22 00:31
→ gn7722: 臉書真的看到阿婆在感謝投資老師了 07/22 00:42
→ RuRu5566: 借券大賣欸，誘多嗎一.一 07/22 00:44
推 Realite: 我相信你了ＸＤ 07/22 02:00
推 kl015013: 蘭叫啦 路邊阿婆想放空會散戶大買  低能 07/22 09:43
推 NSKB: 你以為做多被動的就少？ 07/22 09:46
推 ggfinger: 放空哪有這容易 何況傻多更多 哲哲 下週all in 被動 下 07/22 11:06
→ ggfinger: 週不知又要埋葬多少人...... 07/22 11:06
推 jeff7691: 想太多，去號子問那些阿公阿嬤，大都馬死多頭，頂多空 07/22 13:31
→ jeff7691: 手，會放空的絕對沒超過兩成。 07/22 13:31
"
"8" NA
"9" NA
"10" "作者killCHina (把拔~我想買GTR)看板Stock標題[請益] 大崩盤能預測嗎時間Sun Jul 22 01:05:55 2018
大崩盤是否可預測？

股版神人說2008獲利出場
老師說2008帶客戶出場
感覺就是猜中而已，整天說嘴

但其實不出場也沒關係吧
https://i.imgur.com/ct2r5WG.jpg
隔ㄧ年還不是彈回來。



所以...大崩盤真的能預測嗎？
玩個股還能認真作功課，但大盤...是要研究個鳥?
（報紙看ㄧ看手機新聞滑ㄧ滑差不多了）
頂多是針對跌太多的：
譬如今年歐洲、中國股市，新興市場債券。
現在進場點相對不錯，進去賭ㄧ波


做好資產分散不怕大崩盤。
反正真的末日，你也是最後一個掛掉

回歸正題...大盤真的可以預測嗎？

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.10.64.20
※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1532192757.A.098.html
噓 lingino: 一切的一切預告在前 07/22 01:06
噓 Altair: 天生神力 何必預測 07/22 01:09
→ roder: 十年對稱跌幅 07/22 01:12
→ FateOFP: PTT反指標 07/22 01:12
推 higashi1107: 可以 07/22 01:14
噓 zxc445567: 嘉偉老師已經預測兩年了 07/22 01:43
推 jim66356: 哪可能 要也是慢慢跌 回暴跌一定有隨機事件 07/22 01:57
→ jim66356: 隨機事件要怎麼預測 07/22 01:57
→ cmcmisgod: 你是川普貼身助理預測機率可以提高 07/22 01:58
噓 YeeDayYaMayD: 提示你 選擇權 07/22 02:39
推 Xaymaca: 可以  但是不想告訴你咧 07/22 02:46
推 oplk: http://i.imgur.com/JITJTKt.jpg 07/22 03:04
→ oplk: 散戶至少要會用騰落線吧，不然就等著被主力預測惹儿 07/22 03:04
噓 darkMood: 能，只是你不知道誰預測的。 07/22 03:31
推 transcend789: 不行 但是大護盤應該4可預測der 07/22 05:12
→ badbadook:    大戶超屌 07/22 05:36
推 awss1971: 這件事我確定我不知道，知道的人是誰其實也不重要，重點 07/22 06:36
→ awss1971: 是你知道嗎？ 07/22 06:36
→ DreamRoom: 這就像祖父悖論 如果大盤可預測明天要崩盤 前一天就會 07/22 07:38
→ DreamRoom: 出現恐慌性賣壓 變成前一天就先崩盤 預測就不準了 07/22 07:39
→ DreamRoom: 所以就算大盤可預測 也只會有少數人知道而且是絕對機密 07/22 07:40
→ DreamRoom: so你在這問 就算真有正解 對你而言大盤一樣是不可預測 07/22 07:44
推 a06030501: 外資一直追高殺低 07/22 08:06
→ mrschiu: t50反1被斷頭的幾乎都是8000點預測崩盤那批(自介XD)... 07/22 08:10
推 ethan0419: 可以 但說出來就不會崩了 07/22 09:15
→ jorway666: 當然可以預測，準不準而已 07/22 09:42
推 peter015: 當然可以預測~2017,2018年1,2,3,4,5...12月~台股大崩盤 07/22 09:44
→ peter015: 加十年對稱跌幅~~~~+++++ 07/22 09:45
推 GaryG: 可以，但不跟你說 07/22 09:46
噓 f1279528: 你可以回1989 07/22 09:55
推 junnn: 按騰落線做 2017就以經掰掰了 不會活到2018 ^^ 07/22 11:01
噓 aaronjosh33: 只有嘉偉老師神分析神預告能精準預測!!!!!!!!!!!!!!! 07/22 11:03
推 AZD9291: 明天開始崩 07/22 12:37
→ jason121: 隨波逐流，乘風破狼，興風做浪。 07/22 16:54
推 yata4547: 突然崩是沒辦法的 但2008次貸期間將近一年 07/22 17:54
→ yata4547: 有危機意識的應該都離場了吧 07/22 17:55
推 humbler: 我看的部落格文主是說可以預測 07/22 21:26
→ humbler: 他是說他運用總體經濟的概念 預測美股與台股都會大崩盤 07/22 21:26
推 Petrovsky: 總經警示出來 到崩盤會有蠻長的時間 可以出清持股 07/22 23:15
推 GaryG: yata說的沒錯，就算是崩盤也不是一瞬間的事情。 07/23 04:05
→ asd132467647: 事前告知 事後驗證 07/23 20:29
"
"11" NA
"12" NA
"13" "作者EDFR (板橋周子瑜)看板Stock標題[新聞] 衛冕者郭哲榮 選禾伸堂華新科時間Sun Jul 22 01:09:37 2018

1.原文連結：

https://money.udn.com/money/story/5607/3265536

2.原文內容：


衛冕者郭哲榮 選禾伸堂華新科


上周戰報
「華爾街大亨」郭哲榮上周戰績大跌15%，較大盤周漲0.62%弱勢，虛擬資產降至438萬元
。

郭哲榮上周持有的六檔標的全數繳出負報酬，當中被動元件股鈞寶、大毅股價持續弱勢，
分別下跌28.3%、20.1%，壓抑投資組合表現。

另外工具機廠上銀、直得，以及淳安、麗豐-KY股價都陷入整理，上周都以下跌作收。

本周布局
上周台股表現不錯，受到20日台積電大漲激勵下，再創7月以來台股新高。

進入新的一周，郭哲榮維持六檔標的，現金水位保持0%，當中最看好被動元件禾伸堂。

本周郭哲榮資金全數續押上周漲多熄火的被動元件股，他認為被動元件族群短線跌深後，
有機會展開反彈，特別是個股基本面不錯，以禾伸堂為例，5月EPS為2.17元，未來本益比
可能不到十倍。

基於相同的選股邏輯，其他如龍頭國巨、華新科，5月EPS分別為9.95元、3.01元，未來本
益比都可能不到十倍，各布局20%。

另外大毅、信昌電、奇力新短線跌三至四成，可望展開反彈，各布局13-14%。

多空診斷室
台股上周表現不錯，近期影響台股走勢極大的陸股，上周五拉尾盤，也有初步止穩跡象，
破底危機暫時解除。

整體來看，我認為近期台股就是呈現上有壓力、下有支撐的區間整理格局，指數空間並不
會太大，還是以個股表現為主。對台股來說，中小型個股，甚至短線跌深的被動元件股，
本周都會有反彈的空間。

投資錦囊妙計
近期台股內外資操作不一致，外資因為美股創新高，大買特買台股，只拉台積電及鴻海等
權值股，可是中小型股，內資在落跑，最主要的原因就是陸股及人民幣的弱勢，人民幣狂
貶，代表有資金在匯出、落跑，內資看到此現象，買盤一定縮手，但川普在19日的發言，
希望美元弱勢一點，還希望Fed不要升息太多次，可能會救了陸股及全球股市。

冠軍的話
感謝家人、朋友、同事、會員及粉絲的支持與愛護。


3.心得/評論：

哲哲說下周被動族群會反彈
這次選的所有都是被動族群類股
被動會再次跟著哲哲動起來嗎？

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.83.92.239
※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1532192981.A.AE0.html
→ go1717: 還是凍起來？ 07/22 01:10
推 roder: 反指標概念股? 07/22 01:12
推 HappyPorsche: 本週再開放899名持股診斷 07/22 01:13
→ chaihao7: 哲哲對帳單呢？ 07/22 01:16
推 ckshchen: 本週沒選禮拜五漲停的，見真章了! 07/22 01:18
推 bobo0916: 是說...折折對於被動情有獨鍾 談起戀愛了嗎？ 07/22 01:18
推 ImLoki: 樓下 口號預備 07/22 01:19
推 jim66356: 彈粗乃惹 07/22 01:21
推 go1717: 一切的一切，預告在前！ 07/22 01:21
→ jim66356: 拍謝搶到ㄖ 07/22 01:21
→ dd410504: 空爆國巨 07/22 01:21
推 abxtpml56: 還選啊 哈哈 07/22 01:22
推 mslhu: 賭這麼大 6檔全押被動元件 666666 07/22 01:24
推 HappyPorsche: +~看到這表現還冠軍，應該懶得計較了 07/22 01:28
推 gn7722: 歐印了啦 07/22 01:30
推 kao00917: 2049投資長應該停損了吧 07/22 01:32
推 jackass1113: 居然Allin被動 07/22 01:38
→ ckshchen: 本週就是看哲哲真功夫了，不然之前被說都選漲停 07/22 01:40
推 JesseCat: 請問放空大盤和買進個股都賠錢是怎麼辦到的 07/22 01:42
推 lingino: 感覺真的會彈 別亂空了 07/22 01:43
推 ki19852001: 死亡筆記本嗎?  這六檔GG了 07/22 01:45
推 cocolo60: 其實有他的道理，被動跌深會反彈，+~也有警告不要追空。 07/22 01:48
→ cocolo60: 現在融資都還在撐，除非再砍一根跌停清融資，不然差不多 07/22 01:48
→ cocolo60: 要彈了 07/22 01:48
推 heeroway2006: 可以準備壓被動賺錢了 07/22 01:50
推 cl3bp6: 虛擬資產已經輸給陳立委了 跌出寶座 07/22 01:51
推 lingino: 被動下禮拜真的有肉吃反彈了 跟著歐印 07/22 01:52
→ iphone15s: 是喊來幫會員出貨嗎XD 07/22 01:53
推 ki19852001: 說個笑話，從1000彈到800 zzzzzzzzzzz 07/22 01:53
